Index;Document_No;Dominant_Topic;Topic_Perc_Contrib;Keywords;Question;Response
1581;1581;15.0;0.0941;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;FYI tip from anxious passenger. I feel at ease when pilots give a warning ahead of time that the flight will be bumpy. :);A heads up from the crew about some bumps along the way is always a nice thing to hear!
1582;1582;7.0;0.0852;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;boarding music is the absolute best. This month’s playlist includes and among others. 👌🏻🎧 https://t.co/gnJjwsVjID;What can we say? Only the best for you, Max.
1583;1583;5.0;0.0645;aa, give, pilot, plan, option, food, answer, schedule, offer, small;2/2) Im ultimately trying to get to Austin, TX by tomorrow so the delayed flight is hindering those plans...;Its a delay due to aircraft maintenance. Were going to send more info via DM.
1584;1584;8.0;0.0792;https, today, fly, home, guess, aa, awesome, treat, part, joke;Startled awake at 5AM today (twice) by to tell me my 6PM flight is now at 9PM!;We always want to keep you aware of whats going on, our apologies.
1585;1585;15.0;0.0798;flight, passenger, crew, love, time, provide, lounge, talk, ve, break; Miami’s Estefan Kitchen provided lunch boxes for AA Ground Crew in Puerto Rico! https://t.co/sRB9tEXa8a;Thats so fantastic. We love the great amount of generosity in Miami, and throughout the entire country.
1586;1586;6.0;0.121;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;delayed first flight, closed door on connecting 15 mins early, now plane just sits while I have to find a new way home. Awesome;We never want to leave anyone behind. Please DM your record locator, so we can take a look.
1587;1587;7.0;0.0639;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;surely you can have a better way to redeem them then to have to mail them in?;They can be brought into an AA ticket counter for payment as well.
1588;1588;3.0;0.078;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;Thats not exactly convenient. Go to an airport for future travel or pay for tracked shipping and spend a half hour to an hour on the phone;Electronic vouchers are in the works. Our apologies for any inconvenience.
1589;1589;5.0;0.0673;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Can I please get answers to my last questions?;Youll be able to use your voucher at the address provided. Were so sorry for the inconvenience.
1590;1590;13.0;0.0652;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;Is there really no way to just have this processed via email?;Youll need to bring the voucher in person in order to use it.
1591;1591;13.0;0.0645;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;"How are you still issuing paper vouchers redeemable by mail only? Please get your act together &amp; jump into the 21st century";We do offer evouchers as well but in some instances we still need to issue paper vouchers. Thanks for understanding.
1592;1592;6.0;0.0757;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;After an interesting trip and multiple cancellation, American and their hard working agents have done the right thing THANK YOU;Were so glad we could help turn this situation around! Have a fantastic morning.
1593;1593;11.0;0.0843;flight, great, staff, terrible, destination, entire, completely, locator, question, list;Your entire staff at PHX, specifically Debbie at gate A27, could use training in basic manners/courtesy. Training opportunity!;Our sincere apologies, Will. We always want each member of our team to help whenever possible, and we appreciate your feedback.
1594;1594;5.0;0.066;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Either Im dumb bc I dont know how to use the App Store or is bc I think they dont have an iOS app. #DigitalTransformation;Hi Larry! Click on the App tab here https://t.co/mzNUau3TZq and that should do the trick.
1595;1595;1.0;0.0926;cancel, airline, trip, expect, return, buy, chance, full, price, include;Thanks. I still dont know why it wasnt found in the App Store. I searched for American Airlines and got every other airline as a result.;Its always available in the App Store. Just do a search for American Airlines and it should pop right up.
1596;1596;0.0;0.05;call, year, guy, nice, update, amp, ve, week, receive, status;Who are you again? 😜;Were glad you were able to find it and we know youre going to love using the app!
1597;1597;16.0;0.1026;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Any return from you side? Miles? The experience for a group of 11 people has not been the best, and we are reconsider to fly again with you.;Please follow-up in DM with some additional details.
1598;1598;8.0;0.0776;https, today, fly, home, guess, aa, awesome, treat, part, joke;Commendations to #AATeam for the great work being done to help hurricane victims https://t.co/Yi0CfE2aGV;Our #AATeam truly is an incredible and generous group of people, and we really appreciate your kind words.
1599;1599;16.0;0.0625;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;the crew on flight 1729 is so sweet and helpful. This is why I fly American! Please let them know!;We have the best team in the business! Well be sure to pass along your compliment. #AATeam
1600;1600;15.0;0.0887;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;Homeward bound we love you stay #vegasstrong #travelshoes #travelsocks https://t.co/ZSqHGz9Xae;Its our pleasure to have you back on board with us again, headed home sweet home.
1601;1601;10.0;0.1045;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Bag fits under seat, but still charged us $150 to check a bag on an empty flight ! https://t.co/FRHMdH9uEd;With a Basic Economy ticket your bag has to fit within the size allowed. If its larger youll have to pay additional.
1602;1602;0.0;0.0725;call, year, guy, nice, update, amp, ve, week, receive, status;"Appreciate friendly service &amp; smooth flight from FRA to DFW! I paid $20 for Wifi that rarely worked. How can I get a refund?";Were glad to hear our #AATeam was great! Well send more info about the Wi-Fi via DM.
1603;1603;16.0;0.0872;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;No wifi and overflowing toilets yielding all bathrooms unusable. Nice job ;This isnt the experience we wanted for you. DM your record locator so we can share your feedback.
1604;1604;15.0;0.0673;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;your team on flight AA1728 was phenomenal. Best flight Ive ever been on.;Phenomenal, what a fantastic way to describe our #AATeam! Thanks for your kind words, well pass along your feedback.
1605;1605;14.0;0.1271;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;7 hour delay in DFW. Unacceptable. Gate agents at Ter B not courteous or helpful. Gate agents need better customer service training.;Were always working to add great tools for our team to provide excellent service. Thanks for this feedback.
1606;1606;8.0;0.0686;https, today, fly, home, guess, aa, awesome, treat, part, joke;your service today in DFW is subpar. #epicfail #notjustweathereither;Whats going on? Were here to help. Let us know if we can turn this around for you.
1607;1607;3.0;0.0686;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;hola! Which lounge can I use at Manchester airport T3?;Hola, Ana! Please DM your record locator so can take a look to check options for you.
1608;1608;4.0;0.0673;delay, hour, miss, late, connection, suck, flight, policy, refund, water;We are now 1.5 hours at the gate;Our maintenance team is on board, were showing the flight has completed boarding, and should take off soon. Thanks for your patience.
1609;1609;15.0;0.0712;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;None of that is true. Im on the plane. There is no maintenance crew and now weve been told to rebook flights.;Please meet us in DMs with your record locator, so we can check available options.
1610;1610;11.0;0.0962;flight, great, staff, terrible, destination, entire, completely, locator, question, list;That’s great : ) Just thought that since CLT was a hub, you might have a lead on how they can get transport... tnx for response!;They may want to reach out to the Red Cross or an official local charity for help.
1611;1611;8.0;0.0673;https, today, fly, home, guess, aa, awesome, treat, part, joke;Any help? https://t.co/Ut4RWFWMSe;Were working with the government and the Red Cross and have been on the ground from the beginning. See the latest: https://t.co/LS0P7pFEyZ
1612;1612;4.0;0.0782;delay, hour, miss, late, connection, suck, flight, policy, refund, water;sent me an email asking how my flight was when it was delayed for an hour due to a staffing issue.... How do you think I feel?;Were sorry to hear that your flight was delayed. We try really hard for this not to happen.
1613;1613;17.0;0.0664;time, bad, service, experience, response, home, understand, month, guy, reason;And this was a “supervisor” ;Were sorry to hear about your loss. Please DM your record locator, so we can look into this for you.
1614;1614;6.0;0.0993;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;Hey make sure you recognize Pam, gateE13, MSP, for showing genuine customer service to the poor guy trying make his own wedding;Were so glad our #AATeam was able to help during this exciting time. Well be sure to pass along the compliment!
1615;1615;8.0;0.0939;https, today, fly, home, guess, aa, awesome, treat, part, joke;Up in the sky. My second home. #AmericanAirlines #AlwaysTraveling #ShotoniPhone https://t.co/bf5F50n7g8;Thanks for the great pic, Angela! Its always a pleasure having you fly the skies with us.
1616;1616;1.0;0.1063;cancel, airline, trip, expect, return, buy, chance, full, price, include;WORST AIRLINE. If u buy a ticket at a good price, they wont allow use of overhead bin. PATHETIC!;We offer Main Cabin fares as well, which include a carry-on. See details about your ticket here: https://t.co/MKvFFVWJdz.
1617;1617;0.0;0.0718;call, year, guy, nice, update, amp, ve, week, receive, status;50 bucks at second city after getting approval at first city.....hmmmm....prob not a lot of second city charges like that. POOR;Consistent service is what we want you to receive. Please DM your record locator and we can pass on your comments for internal review.
1618;1618;12.0;0.0744;make, change, customer, hope, thing, fee, dm, line, cool, night;Why do I care about internal review. I was penalized for American changing its mind. First city said yes, second city no...then 25 penalty;It sounds like you purchased a Basic Economy fare which allows one personal item on board. Please DM your locator and well take a look.
1619;1619;16.0;0.0818;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;your wifi connection at the Admirals Club in Terminal C at DCA isn’t very usable. #wififail https://t.co/I9hBZmMPJ6;Well send your screenshot of the speed test to our team. Also, please let our folks there know.
1620;1620;8.0;0.0758;https, today, fly, home, guess, aa, awesome, treat, part, joke;My view as we landed at JFK Super cool #AmericanAirlines https://t.co/zV8QswHYUu;Looks like a nice and sunshiny day to be flying into JFK! #seeingshadow
1621;1621;16.0;0.0648;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;How much will one additional 💼 cost weighing approx 20kg;Wed like to get you the most accurate information, please DM your record locator, and well take a look.
1622;1622;10.0;0.1048;bag, check, free, carry, luggage, put, bring, cabin, force, fit;"flying 🇬🇧 2 🇺🇸&amp; want 2 check in xtra luggage. is there a price dif if i prebook luggage online or do so wen checking airport?";Luggage charges are collected at the airport only and our team will calculate what theyll be when you check the bags in. See you soon!
1623;1623;8.0;0.0903;https, today, fly, home, guess, aa, awesome, treat, part, joke;Beautiful day to be cruising high in the sky with https://t.co/1xnVZ6ihI0;Its our favorite place to be too!
1624;1624;0.0;0.05;call, year, guy, nice, update, amp, ve, week, receive, status;I kinda wish the customer service on was like or .;Our apologies for this. No worries about this, our airport team will be happy to check you in.
1625;1625;7.0;0.0991;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;can I trade in miles to stop soliciting me for credit cards on my flight. And to do it twice on one flight is just dirty pool.;Thats a little on the unusual side. Its just a great way for our passengers to build additional miles.
1626;1626;6.0;0.1061;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;lets go sitting on tarmac in dca go 30 mins landed early #whatstheholdup;sorry for the wait tonight. We always want to get you on your way as quickly as we can.
1627;1627;3.0;0.0673;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;flying #americaneagle ! Hoping to get the bags.. fingers crossed 🤞! #DesMoines ;Your bags are in #GoodWings with us Poornima!
1628;1628;11.0;0.0786;flight, great, staff, terrible, destination, entire, completely, locator, question, list;Thanks for assuring but the flight is delayed !;Meet us in DM with your record locator if you need us to check rebooking options.
1629;1629;10.0;0.066;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Was able to make it the same flight...thanks for checking in!;Thats great news and thanks for the update!
1630;1630;5.0;0.0618;aa, give, pilot, plan, option, food, answer, schedule, offer, small;why are you serving European wines? Why not American?;The wine offerings can vary based on the market and the amount remaining in our stores, Sheila.
1631;1631;17.0;0.0673;time, bad, service, experience, response, home, understand, month, guy, reason;Worst customer service ;Whats going on? Were glad to check on it for you.
1632;1632;0.0;0.0704;call, year, guy, nice, update, amp, ve, week, receive, status;4 customer service reps were completely unhelpful, youll receive complaint letters;Were here for you. Please meet us in DM with your record locator and more information.
1633;1633;16.0;0.1063;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Perhaps you dont remember, but pre-merger, AA was flexible with these kinds of things... 1005 miles would have needed only 2 upgrades.;We value your loyalty and feedback, Adam. Well pass your comments to our leadership team.
1634;1634;16.0;0.1287;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;In all the negative changes, 1005mile MCO-ORD now requires 3 500-mile upgrades. When had a good program, it used to round down.;The full amount would be required for those flights that arent complimentary upgraded. https://t.co/2JRtNKeaB2
1635;1635;4.0;0.0673;delay, hour, miss, late, connection, suck, flight, policy, refund, water;Why still delayed? is waiting.;The departure time has been moved out to 10:20p and were working hard to get him back to you ASAP.
1636;1636;10.0;0.0813;bag, check, free, carry, luggage, put, bring, cabin, force, fit;and coming into land as taxis in preparation for take off at San Francisco https://t.co/zXpyPeTQ6A;Were in a race and were winning!
1637;1637;15.0;0.0673;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;Ha! I was going to write exactly that but thought the suggestion of 2 planes racing to touch down 1st would be frowned upon - evidently not!;We were actually going to say it looks like that BA planes going to gobble us up. When we see a chance to play and have fun, we go for it!
1638;1638;13.0;0.0686;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;thank you - I did HUCA and found someone who could help;Were glad you were able to get someone to help. Please remember, were just a tweet away.
1639;1639;13.0;0.0744;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;I really miss the days of an Executive Platinum phone desk. Now you have nothing but morons answering the phones;Were here to help if we can. Please meet us in DM and we can take a look for you.
1640;1640;8.0;0.0625;https, today, fly, home, guess, aa, awesome, treat, part, joke;I got the full can of ginger ale. You are such a blessing ❤️✈️😉 https://t.co/Xll0gDV2Qy;Its the small things that sure make a difference! Happy youre enjoying your full can of ginger ale.
1641;1641;17.0;0.0621;time, bad, service, experience, response, home, understand, month, guy, reason;I got the whole can this time. Thank you 🙏🏾✈️ https://t.co/KDHW7diANm;Treat yo self, Will. Always great to have you on board.
1642;1642;2.0;0.0776;seat, pay, move, extra, purchase, information, room, group, screw, hotel;✈️ why so stingy? I asked for ginger ale and got one small cup. Why not the whole can? Are we still in a recession? Am I crazy? https://t.co/BvuVaAV3ee;Were sure if you let our crew know, our team would be glad to accommodate.
1643;1643;5.0;0.0757;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Waiting for 3 hours in the AA Phoenix gate for someone to figure out how I can travel to Vancouver with an eta. Ridiculous as AA does not know how to do checkin;Our team in PHX is good and theyll help with all available options. If you need another eye, please DM us your record locator.
1644;1644;14.0;0.114;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;Thank you gate agents at G10 in ORD for being reasonable tonight and waiting to close the gate. ;Glad they were able to wait just a bit for you! Please DM your record locator and well be sure to pass on your thanks.
1645;1645;16.0;0.0718;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Just scrubbed either poop or chocolate off the seatbelt on this flight I’m on, so feeling real good right now🤢;Please let a crew member know, Bridget. They can get you something to take care it or a possible change of seats.
1646;1646;17.0;0.0814;time, bad, service, experience, response, home, understand, month, guy, reason;Can’t remember the last time I flew when flight was on time. Original flight was supposed to be at 2:58pm. Now it’s at 10:20.;Were so sorry for the delay and we know our team is doing everything possible to minimize it. Well have you in the air soon.
1647;1647;0.0;0.0795;call, year, guy, nice, update, amp, ve, week, receive, status;All that flying this year has finally paid off. Today I got gold frequent flyer status on ;This is fantastic news and we sincerely appreciate your loyAAlty!
1648;1648;5.0;0.077;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Even with the unexpected stop, still pleasant flight. Weather was definitely an issue in Mia.;Thanks for hanging in there with us when Mother Nature decides to play.
1649;1649;19.0;0.0778;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;After an unexpected stop in fort Meyers, finally in Miami!;Getting you to your destination on time every time is high on our list. We appreciate your patience with us this time.
1650;1650;0.0;0.0712;call, year, guy, nice, update, amp, ve, week, receive, status;your points system may be the #WorstEver. I was just charged $80 to use points on 1 flight!? #AmericanAirlines #points #wtf;If one books outside of 21 days, only taxes are due. If within, a $75 charge applies.
1651;1651;7.0;0.0673;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;Tried using the website! No luck.;Please DM your record locator and what youre trying to do. Well take a look.
1652;1652;2.0;0.0712;seat, pay, move, extra, purchase, information, room, group, screw, hotel;Been disconnected from customer service 4 times. Getting varying information from reps. Just need help with a flight change?;So sorry to hear thats happened, Caitlin. Have you tried seeing if you can make the change on our website? If not, please try again.
1653;1653;5.0;0.0789;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Shoutout to - have several food allergies and they got back with safe choices for my upcoming 🛫. 🙌🏻;Were always happy to help when we can, Becky.
1654;1654;18.0;0.0951;issue, holiday, family, happen, fix, due, card, end, contact, first_class;"&amp; offered to fix Expedias mistake. DID NOTHING &amp; should be ashamed of treating military families so bad";We love our military families and were always happy to help when we can, Tracey!
1655;1655;10.0;0.091;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Got a check in the mail today from reimbursing me for the cakes from when my luggage was lost. Hell yeah! 🙌🏻🙌🏻🙌🏻;Were happy this has been resolved, Ashley!
1656;1656;11.0;0.0887;flight, great, staff, terrible, destination, entire, completely, locator, question, list;Im taking off Phx-Tus now and I didnt bail the airport.... pls keep the lead in the short flight. 💜 you all https://t.co/49n0UHJo8x;Were working hard to update our fleet, Erin. We cant wait for you to check out one of our newer birds.
1657;1657;7.0;0.0625;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;Another day passes and I still cant get ahold of Customer Service. Been on hold for 15 minutes, so i booked ;Were so sorry for the longer than normal wait time, Tony. We hope youll give us another chance.
1658;1658;6.0;0.0867;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;Here we go again! Landed at DCA and apparently surprised everyone at AA. No gate available. Said it will be 40 mins. How?!?;Our team is working quickly to get you into a gate. Were so sorry for the inconvenience.
1659;1659;4.0;0.0898;delay, hour, miss, late, connection, suck, flight, policy, refund, water;"delayed for &gt;three hours on tarmac, little clarity on when wed be leaving for an issue even the pilot deemed unimportant";We always want to get you in the air right on time, Darcy. Were sorry for the wait today.
1660;1660;14.0;0.0945;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;I love American but this was really unacceptable. Arrived so late I missed a business event. Flew aa12 sfo - jfk, anything u can do?;Were happy to take a look for you, Darcy. Please meet us in DM with your record locator.
1661;1661;9.0;0.0697;flight, back, problem, happy, hold, long, service, terminal, money, row;Hi. I want more information about the following images. My sister is coming to Brazil, leaving Miami. https://t.co/RFSliF7SRg;Were showing the bag was loaded in MIA on flight #929 which is now in the air.
1662;1662;8.0;0.0804;https, today, fly, home, guess, aa, awesome, treat, part, joke;the suitcase 678 yes, the 679 was not loaded for flight AA 0929. Look the image https://t.co/W4OGyH8l4s;Once she arrives if both bags have not arrived, shell need to file a claim with our Baggage team at the airport.
1663;1663;10.0;0.0854;bag, check, free, carry, luggage, put, bring, cabin, force, fit;bring her bags to the final destination.;Please have her work with our baggage team at the airport and theyll get her all set up.
1664;1664;6.0;0.0716;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;is the least you should do for her. early this morning we will see this;Shell need to work with our Baggage team at the airport to have delivery set up.
1665;1665;9.0;0.0724;flight, back, problem, happy, hold, long, service, terminal, money, row;Excited to head back to Europe for a few days of #holiday in #Prague followed by a presentation at #ILA2017Brussels! Thanks https://t.co/m9ixBaSFSB;Were thrilled to have you on board Andrew! #Enjoy
1666;1666;14.0;0.092;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;- #4442 ATL-LGA arrives early. Bags unloaded,people still on plane. Multiple calls for gate agent=nothing. Becoming the norm 😖;Sorry for the wait tonight. We always want to get you on your way as quickly as possible.
1667;1667;14.0;0.0833;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;Thanks. Its becoming the normal instead of exception with the waits 15 minutes or more.;Its great when we arrive early but sometimes the gate isnt ready for us, but were sorry again for the extra time on board.
1668;1668;17.0;0.0712;time, bad, service, experience, response, home, understand, month, guy, reason;Me - I’m Boy - you’re payment processing software? Me - no, what? I made EP on again what did you hear?! #wearehilarious;You-I made EP. Us- We heard, and what happens at AA, stays at AA! Congratulations. #youarecrAAckingusup
1669;1669;6.0;0.0744;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;Ya that wont b happening soon. Now she has to fly to Phoenix tomorrow morning. Then connect to Vegas. Very disappointing;Please have her reach out to us here if she needs assistance. Were always here to help, 24/7.
1670;1670;14.0;0.0789;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;B nice if u could upgrade her since she was in tears because plane couldnt get to gate and she saw her flight leave without her;Were unable to upgrade here. Please have her work with our team at the airport for available options.
1671;1671;4.0;0.066;delay, hour, miss, late, connection, suck, flight, policy, refund, water;my daughter trying to get to Vegas for 21st bday and again American air delays so she stuck in Charlotte.;Happy birthday to her! We want to get her on her way as soon as possible, Deanna.
1672;1672;2.0;0.0648;seat, pay, move, extra, purchase, information, room, group, screw, hotel;just totally screwed this lady over... ...smh;Oh, my. What happened?
1673;1673;12.0;0.0804;make, change, customer, hope, thing, fee, dm, line, cool, night;might be my new favorite airline after my flight to Miami. I will confirm after I make it home....;Were looking forward to seeing you on board!
1674;1674;12.0;0.0599;make, change, customer, hope, thing, fee, dm, line, cool, night;Just FYI.... 6L;We used our magic powers and already sent them the seat number as well. #wink
1675;1675;11.0;0.0887;flight, great, staff, terrible, destination, entire, completely, locator, question, list;has new lower standards for plane cleaning: AA905.. never saw a seat so dirty: plastic, papers, food from previous flights;Thats not what we like to hear. Well pass this info along to our team to get it resolved. Thanks for letting us know, Guilherme.
1676;1676;4.0;0.066;delay, hour, miss, late, connection, suck, flight, policy, refund, water;disappoints once again! Just once I would like to get home without a delay! 😡;Well have you in the air just as quickly as we can. Thanks for hanging in there with us.
1677;1677;8.0;0.0652;https, today, fly, home, guess, aa, awesome, treat, part, joke;Y’all fucking suck ;Whats going on, how can we help?
1678;1678;10.0;0.0673;bag, check, free, carry, luggage, put, bring, cabin, force, fit;how about a free flight?;Although we dont have those kind of powers, check out our great schedules and fares here: https://t.co/iJWiiS4WLg
1679;1679;8.0;0.066;https, today, fly, home, guess, aa, awesome, treat, part, joke;Hey look what was on my flight today: https://t.co/FGkOeDn8Ay;Were glad you found a favorite to enjoy!
1680;1680;17.0;0.0724;time, bad, service, experience, response, home, understand, month, guy, reason;"am I going to have a job tomorrow ? Not arriving in D.C. Til 2:30 &amp; getting home when ?!?!?!!!!!!!! #wth this is 😤 https://t.co/a8U7Z8nF6I";Were so sorry that youve been delayed, Christy. Wed be happy to take a look. Please meet us in DM with your record locator.
1681;1681;16.0;0.1008;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Oh good cause that is a simple fix... Start loading the people at the back of the plane and work your way to the front.;We have a team thats researched all aspects and this is the most efficient including all factors. Thanks for the feedback.
1682;1682;9.0;0.0664;flight, back, problem, happy, hold, long, service, terminal, money, row;Why does a plane board from front to back #easytofix #badux;We want to board our customers the fastest way we can to ensure an on time departure: https://t.co/ro6Ga4r4c4
1683;1683;16.0;0.0789;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Should I b concerned theyve done 2 hours of maintenance on this plane. Im gonna die 🙄 whats good;Your safety is our top priority, Kayla. Youre in #GoodWings with us!
1684;1684;3.0;0.0636;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;Theyve said something about the plane being taken out of service. Any guesses on what that means for the flight?;Whats your flight number? Were happy to take a look for you.
1685;1685;4.0;0.0951;delay, hour, miss, late, connection, suck, flight, policy, refund, water;Is it possible yo get information on where to file a delay claim? My flight has been delayed a minimum 6 hours;You can do that here. Please meet us in DM with your record locator.
1686;1686;10.0;0.066;bag, check, free, carry, luggage, put, bring, cabin, force, fit;I think there should be a frequent flyer program for pets. ;We love having your fur babies fly with us! Be sure to tweet us a pic next time.
1687;1687;9.0;0.0987;flight, back, problem, happy, hold, long, service, terminal, money, row;Such is life, your in-flight was awesome, cant prevent jerks from being jerks. PHI-AUS. Handled an unreasonable lady very well, good on em!;Wed like to pass your comments along to our team, Alex. Please meet us in DM with your record locator.
1688;1688;6.0;0.0673;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;Some dates are not showing anything;What dates are you looking for? Its possible no flights are available on the dates selected.
1689;1689;6.0;0.0844;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;10-21 10-23 its showing like if SJU was closed;The return date on 10/23 is sold out. The next date available after that is on 10/28.
1690;1690;8.0;0.0669;https, today, fly, home, guess, aa, awesome, treat, part, joke;I’m trying to look for dates as I don’t have specific but I need to go Mia-Sju and all I get is this https://t.co/RMLpxGdvT0;Hmm, you may want to try clearing your cache and using a different browser.
1691;1691;8.0;0.0737;https, today, fly, home, guess, aa, awesome, treat, part, joke;still an extremely poor customer service policy, I mostly fly you because of your but guess I will have to look elsewhere;We sure dont want to lose you and would love continue flying you to #AAmazing destinations.
1692;1692;17.0;0.0723;time, bad, service, experience, response, home, understand, month, guy, reason;Me too... but whats AA going to do to make my last experience right.;Were going to look into this further! Please give us a quick follow so we can DM you more info.
1693;1693;2.0;0.0895;seat, pay, move, extra, purchase, information, room, group, screw, hotel;"didnt let me in my purchased seat due to overbooking &amp; had a 8hr layover. Instead I received $12 lunch voucher.. not cool";Were sorry to hear that. Please work with our team at the airport if you need any help getting rebooked.
1694;1694;8.0;0.0599;https, today, fly, home, guess, aa, awesome, treat, part, joke;get your shit together you wonder why nobody likes flying with you;Well have you at your gate and on your way as soon as we can. Thanks for your patience.
1695;1695;11.0;0.066;flight, great, staff, terrible, destination, entire, completely, locator, question, list;I sent you guys some messages.;Were taking a look now, Joey, and will respond to you there shortly.
1696;1696;18.0;0.068;issue, holiday, family, happen, fix, due, card, end, contact, first_class;Stayed awake to check in 24 hours before my flight. Been on hold 37 minutes with please have answers soon!!!!;Were here to help, Tiffany. Whats going on?
1697;1697;9.0;0.066;flight, back, problem, happy, hold, long, service, terminal, money, row;And now on hold 58 minutes and counting;Were taking a look now, Tiffany. Well respond to your DM shortly.
1698;1698;10.0;0.0798;bag, check, free, carry, luggage, put, bring, cabin, force, fit;I have an electric skateboard with a battery of 160wh. Will I be able to bring it along with me? Boston to Chicago ;Youre unable to travel with an electric skateboard. You can find more info here: https://t.co/AhnDRfxtKk
1699;1699;13.0;0.0957;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;And just to mention I was traveling on a business class;Were so sorry your bag didnt arrive with you. Our Baggage team will get it out to you just as fast as they can.
1700;1700;17.0;0.0863;time, bad, service, experience, response, home, understand, month, guy, reason;first time to travel with you, sorry to say your absolutely the worst experience, really disappointed.;Thats not the impression we want you to have. What happened? Please let us know if we can help.
1701;1701;4.0;0.072;delay, hour, miss, late, connection, suck, flight, policy, refund, water;"Awful flights w/ today flight from BOS took off an hour late &amp; flight to SAV turned around halfway through bc plane malfunction";We know you want to get to your destination right on time, Becca. Were so sorry for the delays.
1702;1702;14.0;0.1083;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;Just have your gate agents thoroughly do their jobs. Unfortunately, the gate agent NEVER came on the plane 2 offer an upgrade. Interesting..;Your feedback is greatly appreciated, Duane. Well pass your comments along to our team.
1703;1703;16.0;0.075;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Agents 4 flight 2134 didnt do their jobs. Im on upgrade list. 1st Class half full. No change. Had 2 inquire.. now n 1st. 😑😁;Wed never want you to miss out on an upgrade, Duane. Thanks for letting our airport team know so they could get it corrected for you.
1704;1704;8.0;0.0989;https, today, fly, home, guess, aa, awesome, treat, part, joke;love how you get treated so well as concierge key but lowley exec platinum treat like crap;We appreciate your loyalty, Jason, and always want you to be treated excellent. Were so sorry youve had this experience.
1705;1705;12.0;0.1182;make, change, customer, hope, thing, fee, dm, line, cool, night;thanks for making things right! Little miscommunication but at the end you made things right!! Thanks again 😊;Glad we could help! Were always here for you, 24/7.
1706;1706;1.0;0.0789;cancel, airline, trip, expect, return, buy, chance, full, price, include;I should have listened to all the complaints before booking a flight with this airline. I will never fly with you guys again!!!;The safety of our customers and crew is our top priority. Were so sorry your vacation has been affected.
